task_type,metric,model,mean,ci_lower,ci_upper,n_datasets
binary,roc_auc,catboost,0.8717210060020694,0.8334736788127735,0.9077258197837643,10
binary,roc_auc,ft_transformer,0.8569415291865768,0.8190458632500167,0.8954203548532625,10
binary,roc_auc,kan,0.8485190841371244,0.8119020253252065,0.8843020149050868,10
binary,roc_auc,lightgbm,0.865817949926579,0.8278538762065502,0.9024866889426704,10
binary,roc_auc,mlp,0.8559551864038089,0.8201918763490964,0.8920497000185007,10
binary,roc_auc,realmlp,0.8593292405654349,0.8158843644796557,0.9008173192587215,10
binary,roc_auc,saint,0.8551693497856132,0.8145278793176602,0.8958007946443478,10
binary,roc_auc,stab,0.842572562251388,0.7916315280917108,0.8888258306526013,10
binary,roc_auc,tabfm,0.8775073352745807,0.8364806149959993,0.9181424992010985,10
binary,roc_auc,tabkan,0.8483539272934248,0.8141771058022973,0.8822096407105272,10
binary,roc_auc,tabm,0.8606879427400493,0.8236320422972073,0.8983397496812384,10
binary,roc_auc,tabnet,0.8467785354380386,0.8048983660673201,0.8886218964385598,10
binary,roc_auc,tabpfn,0.8688095701244329,0.829286830266896,0.9079374409144483,10
binary,roc_auc,xgboost,0.8665728581483332,0.8281769345100728,0.9036832586315997,10
multiclass,log_loss,catboost,1.1556698522471767,0.2034538664179106,2.579961434400788,3
multiclass,log_loss,ft_transformer,1.142316257532524,0.2075795565389034,2.5420115281792026,3
multiclass,log_loss,kan,1.1983930383605383,0.24955987654133796,2.6376262810619453,3
multiclass,log_loss,lightgbm,1.1703631566776942,0.2009265233831474,2.62653423267463,3
multiclass,log_loss,mlp,1.1417474338266218,0.2117699465015416,2.5260435606626497,3
multiclass,log_loss,realmlp,1.1284877520830519,0.18941268550561388,2.514390860629984,3
multiclass,log_loss,saint,1.1755085992316037,0.22890976703472363,2.6089655064651347,3
multiclass,log_loss,stab,1.1275150592978764,0.1785958187775829,2.534194623700546,3
multiclass,log_loss,tabfm,0.33374913904984815,0.096603112941738,0.5708951651579584,2
multiclass,log_loss,tabkan,1.234065482606404,0.2577079091936775,2.718748175167041,3
multiclass,log_loss,tabm,1.1245078885283035,0.20666528353666722,2.5096628360983786,3
multiclass,log_loss,tabnet,1.2069344912109867,0.2423449489596102,2.6757938904560006,3
multiclass,log_loss,tabpfn,0.41133587958780116,0.1643815694989615,0.6582901896766408,2
multiclass,log_loss,xgboost,1.1581839294522596,0.1934370538901288,2.6010192000348766,3
regression,rmse,catboost,2.0959373606529974,0.2605819525666857,5.400735725721854,5
regression,rmse,ft_transformer,2.1492023254157266,0.26625859297877025,5.5161066458405354,5
regression,rmse,kan,2.1560280253978066,0.32728406290445344,5.471234832246436,5
regression,rmse,lightgbm,2.0978929554199377,0.2712801709185432,5.391554297356491,5
regression,rmse,mlp,2.250751985859002,0.27974072504645153,5.8063948639162914,5
regression,rmse,realmlp,2.0965864420359956,0.26186972039359435,5.36670073406319,5
regression,rmse,saint,2.141334948709878,0.2659536402767015,5.487262286958606,5
regression,rmse,stab,2.151477519318433,0.2755804276844659,5.50106757409565,5
regression,rmse,tabfm,2.0129633179421864,0.23485355336084307,5.196459107131169,5
regression,rmse,tabkan,2.1782551091719027,0.32722436967512564,5.525005429880878,5
regression,rmse,tabm,2.1553409611507615,0.264984371955026,5.541520262769342,5
regression,rmse,tabnet,2.1668760507152363,0.2868764232863819,5.523716266267091,5
regression,rmse,tabpfn,2.0720353889621035,0.2520524347810748,5.336121256948822,5
regression,rmse,xgboost,2.096756323563471,0.2696633756704078,5.396549002769567,5
