,catboost,ft_transformer,kan,lightgbm,mlp,realmlp,saint,stab,tabfm,tabkan,tabm,tabnet,tabpfn,xgboost
catboost,0.0,0.43385186474111964,0.969148582908305,0.43919134553326555,0.6902588370147382,0.46642048392580204,0.48475452414503456,0.44723669996264404,-0.31087637757449266,0.9115937780024186,0.4116089617752038,0.8536243910345154,0.15009562055644665,0.3467253075234295
ft_transformer,-0.43385186474111964,0.0,0.4071229869605422,-0.3805755774512376,0.06749455624812134,-0.1050527387020063,0.22860257557002764,0.426360679618379,-0.7191207361355232,0.4905337151662333,-0.40832111862874726,0.7420942332320386,-0.6452449880199516,-0.44077362315049146
kan,-0.969148582908305,-0.4071229869605422,0.0,-1.0179722932529258,-0.6701165742966354,-0.4890111393885499,-0.34200272270405924,0.1243162927253668,-1.0708166205828427,0.016170352757956134,-0.7501757886308704,0.10565284467806918,-1.082789740981581,-1.1048395815466108
lightgbm,-0.43919134553326555,0.3805755774512376,1.0179722932529258,0.0,0.6310699819567752,0.4308866065925831,0.47595416990672146,0.4436340792733581,-0.7331781001966817,0.9122502239150395,0.28761442949209043,1.0113562302110968,-0.3259162044401035,-0.37771870889600173
mlp,-0.6902588370147382,-0.06749455624812134,0.6701165742966354,-0.6310699819567752,0.0,-0.15860470294188758,0.050404248932693324,0.2905287109166213,-1.0237606441222327,0.7119640346453041,-0.6833122400490775,0.7204836320734245,-0.9071935883104691,-0.7154796742237651
realmlp,-0.46642048392580204,0.1050527387020063,0.4890111393885499,-0.4308866065925831,0.15860470294188758,0.0,0.2337290772321403,0.3778998300787489,-0.911375235460593,0.40923848175527805,-0.06692483587334269,0.8355401252831481,-0.7466719517167086,-0.5181183199775536
saint,-0.48475452414503456,-0.22860257557002764,0.34200272270405924,-0.47595416990672146,-0.050404248932693324,-0.2337290772321403,0.0,0.38767846401801553,-0.8139461433414487,0.3420930967643597,-0.48918709282099737,0.9378893809739627,-0.7748001653934129,-0.5470992559057798
stab,-0.44723669996264404,-0.426360679618379,-0.1243162927253668,-0.4436340792733581,-0.2905287109166213,-0.3778998300787489,-0.38767846401801553,0.0,-0.6211866897482317,-0.1238245423420846,-0.4365641125929084,-0.1073474898403026,-0.5510863920914405,-0.471833176940193
tabfm,0.31087637757449266,0.7191207361355232,1.0708166205828427,0.7331781001966817,1.0237606441222327,0.911375235460593,0.8139461433414487,0.6211866897482317,0.0,1.0011713102641155,0.7834620161962434,1.3979492586300735,0.5494952919512678,0.6766248683751073
tabkan,-0.9115937780024186,-0.4905337151662333,-0.016170352757956134,-0.9122502239150395,-0.7119640346453041,-0.40923848175527805,-0.3420930967643597,0.1238245423420846,-1.0011713102641155,0.0,-0.8407280315585357,0.08141285426570459,-1.0501850191829305,-0.9870515929934194
tabm,-0.4116089617752038,0.40832111862874726,0.7501757886308704,-0.28761442949209043,0.6833122400490775,0.06692483587334269,0.48918709282099737,0.4365641125929084,-0.7834620161962434,0.8407280315585357,0.0,1.2839869664790338,-0.5882036718598075,-0.35403546102112166
tabnet,-0.8536243910345154,-0.7420942332320386,-0.10565284467806918,-1.0113562302110968,-0.7204836320734245,-0.8355401252831481,-0.9378893809739627,0.1073474898403026,-1.3979492586300735,-0.08141285426570459,-1.2839869664790338,0.0,-1.5378685731335786,-1.138189111594359
tabpfn,-0.15009562055644665,0.6452449880199516,1.082789740981581,0.3259162044401035,0.9071935883104691,0.7466719517167086,0.7748001653934129,0.5510863920914405,-0.5494952919512678,1.0501850191829305,0.5882036718598075,1.5378685731335786,0.0,0.2837321061149387
xgboost,-0.3467253075234295,0.44077362315049146,1.1048395815466108,0.37771870889600173,0.7154796742237651,0.5181183199775536,0.5470992559057798,0.471833176940193,-0.6766248683751073,0.9870515929934194,0.35403546102112166,1.138189111594359,-0.2837321061149387,0.0
