,catboost,ft_transformer,kan,lightgbm,mlp,realmlp,saint,stab,tabfm,tabkan,tabm,tabnet,tabpfn,xgboost
catboost,0.0,-0.685303935074102,-2.0584205844930734,-0.11804972307267336,-0.544708044913557,-0.012585805923655892,-0.7653865874697192,-0.8616387644716138,0.5959570873265734,-1.4258967348221034,-0.6048990792187845,-1.0617067592081737,0.5447907264927119,-0.054664003689083834
ft_transformer,0.685303935074102,0.0,-0.10400270540147473,0.5639730063451788,-0.4747350118019668,0.48712515364903564,0.31440513591920183,-0.09094534390915968,0.6423419771866127,-0.7792765246573781,-0.24010138285030322,-0.8499929461016177,0.6741712643737082,0.5837410894385866
kan,2.0584205844930734,0.10400270540147473,0.0,1.5512373224394167,-0.35417711346607866,0.8620152691837258,0.2840543128915008,0.08441611467270013,0.8955218135994601,-0.6224300149779964,0.008054086945291859,-0.1988072127799219,1.275270538897344,1.713932066092486
lightgbm,0.11804972307267336,-0.5639730063451788,-1.5512373224394167,0.0,-0.5129230775380772,0.02927685291003294,-0.6077935777241659,-0.712898027604016,0.6725068405252475,-1.179179698927568,-0.5120636476026712,-0.8604582881314309,0.778844343048055,0.12924435410908988
mlp,0.544708044913557,0.4747350118019668,0.35417711346607866,0.5129230775380772,0.0,0.4790659635725085,0.4582580774109823,0.4195390515197852,0.5619837189104749,0.3084490783960208,0.5037766059080836,0.36486762261797806,0.5484281341465643,0.5238589780865225
realmlp,0.012585805923655892,-0.48712515364903564,-0.8620152691837258,-0.02927685291003294,-0.4790659635725085,0.0,-0.5362011294292851,-0.631393034012594,0.7770878280147615,-0.8711583695545322,-0.4432556087018628,-0.7532653808314498,1.0331439930257882,-0.0032064304230546114
saint,0.7653865874697192,-0.31440513591920183,-0.2840543128915008,0.6077935777241659,-0.4582580774109823,0.5362011294292851,0.0,-0.9492152173389494,0.6801756772093612,-1.0498629466809342,-0.27873001122671065,-1.5558733458023422,0.7564709370269126,0.6183295156883565
stab,0.8616387644716138,0.09094534390915968,-0.08441611467270013,0.712898027604016,-0.4195390515197852,0.631393034012594,0.9492152173389494,0.0,0.7190200890475257,-0.817916862646689,-0.076952994902889,-0.7501054279287579,0.82812548604639,0.7197136503797295
tabfm,-0.5959570873265734,-0.6423419771866127,-0.8955218135994601,-0.6725068405252475,-0.5619837189104749,-0.7770878280147615,-0.6801756772093612,-0.7190200890475257,0.0,-0.8593280824698395,-0.6057468586489034,-0.7773659570392412,-0.6041503477292625,-0.6392831583940637
tabkan,1.4258967348221034,0.7792765246573781,0.6224300149779964,1.179179698927568,-0.3084490783960208,0.8711583695545322,1.0498629466809342,0.817916862646689,0.8593280824698395,0.0,0.41864672929452224,0.33088073248050787,1.1045742839525154,1.2362558852652865
tabm,0.6048990792187845,0.24010138285030322,-0.008054086945291859,0.5120636476026712,-0.5037766059080836,0.4432556087018628,0.27873001122671065,0.076952994902889,0.6057468586489034,-0.41864672929452224,0.0,-0.26471000260942995,0.6061559050831604,0.5335148651014331
tabnet,1.0617067592081737,0.8499929461016177,0.1988072127799219,0.8604582881314309,-0.36486762261797806,0.7532653808314498,1.5558733458023422,0.7501054279287579,0.7773659570392412,-0.33088073248050787,0.26471000260942995,0.0,0.9404766356860045,0.8783042856156226
tabpfn,-0.5447907264927119,-0.6741712643737082,-1.275270538897344,-0.778844343048055,-0.5484281341465643,-1.0331439930257882,-0.7564709370269126,-0.82812548604639,0.6041503477292625,-1.1045742839525154,-0.6061559050831604,-0.9404766356860045,0.0,-0.6146664818143157
xgboost,0.054664003689083834,-0.5837410894385866,-1.713932066092486,-0.12924435410908988,-0.5238589780865225,0.0032064304230546114,-0.6183295156883565,-0.7197136503797295,0.6392831583940637,-1.2362558852652865,-0.5335148651014331,-0.8783042856156226,0.6146664818143157,0.0
