,model,dataset,accuracy,accuracy,f1,f1,roc_auc,roc_auc,log_loss,log_loss,ks,ks,fold,fold,train_time_s,train_time_s,rmse,rmse,mae,mae,r2,r2,f1_macro,f1_macro,f1_weighted,f1_weighted,roc_auc_ovr,roc_auc_ovr
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,catboost,adult,0.8721878165099275,0.004391788725797842,0.7074854089876121,0.011610552464559849,0.9287664225663705,0.00291600396536483,0.27704209832395404,0.005711029199691111,0.6953526044804195,0.0042124881631444636,2.0,1.5811388300841898,4.916709981200256,1.0051736964642548,,,,,,,,,,,,
1,catboost,amazon_employee,0.9545298493229067,0.0015412629296843153,0.976206764506691,0.0008013898585667571,0.8885298614902022,0.006533100432677218,0.14001532392580834,0.0026998941230876265,0.6394730942847132,0.01862302615070595,2.0,1.5811388300841898,4.030562101257965,0.8427701817667443,,,,,,,,,,,,
2,catboost,bank_marketing,0.9095058165235896,0.0035736605475193174,0.5563013579456322,0.019766877757723216,0.9378112844038476,0.0020428631434713366,0.19362906082567027,0.0036595221551122795,0.7543231585336139,0.01184906133255695,2.0,1.5811388300841898,6.585843131784349,1.5196429984495516,,,,,,,,,,,,
3,catboost,california_housing,,,,,,,,,,,2.0,1.5811388300841898,1.6286825485993177,0.1895042439451962,0.26516582769798935,0.0055853593560829815,0.16698069523747655,0.003594342576294521,0.7185895150371886,0.011866178236868134,,,,,,
4,catboost,cardiovascular_disease,0.7363928571428572,0.003394384054912591,0.7250040078120101,0.00528355039930296,0.8042677293925304,0.00271278479686904,0.5377838573055842,0.002943777472893315,0.4764031576077975,0.005517041190303536,2.0,1.5811388300841898,2.916463201798615,0.528276498534132,,,,,,,,,,,,
5,catboost,covertype,0.9168375,0.0027374001123328553,,,,,0.22059864572709037,0.005903824674951764,,,2.0,1.5811388300841898,97.04811979619917,0.2872121230352766,,,,,,,0.8712962153416681,0.005895540011570782,0.9163867777484829,0.002780298490127145,0.9840587923389801,0.0009422158763084196
6,catboost,credit_g,0.7625,0.030935921676911476,0.8443560138271187,0.023547575416893587,0.7968377976190476,0.05753279353986478,0.5038562521098131,0.05292405999220934,0.5130952380952382,0.10624207987020674,2.0,1.5811388300841898,0.09871245597023517,0.035740558903834686,,,,,,,,,,,,
7,catboost,give_me_some_credit,0.9376374999999999,0.0006809345599982608,0.3021263844658306,0.008515896413883495,0.8652316101952179,0.00547595332837622,0.17738878905442648,0.0021950297422869613,0.5781638322755358,0.013706473944193484,2.0,1.5811388300841898,2.750562015362084,1.0345465766938189,,,,,,,,,,,,
8,catboost,helena,0.38127936879099755,0.004421767981617835,,,,,2.5665784060142323,0.01431757514542884,,,2.0,1.5811388300841898,363.64601434483194,0.08598117928463143,,,,,,,0.2310831982011246,0.007199462282049474,0.3497174229033523,0.004338213899412739,0.9039123049132062,0.0016515487256646161
9,catboost,higgs,0.7310428352881183,0.001997811420117646,0.7478131091916301,0.002208521993329573,0.8114382393706532,0.0029538038066040124,0.5264718252043735,0.0030785979445413104,0.4637877686562438,0.004386669574860829,2.0,1.5811388300841898,10.633997914998327,0.6383126210778566,,,,,,,,,,,,
10,catboost,jannis,0.7247632645920477,0.00509604853349285,,,,,0.6791100686950031,0.005778199031164677,,,2.0,1.5811388300841898,86.37736599179917,1.9346935351688752,,,,,,,0.5546958789083598,0.006760092340105636,0.7191242675519713,0.0048396953696299705,0.8774140798168014,0.0026215019618269393
11,catboost,kin8nm,,,,,,,,,,,2.0,1.5811388300841898,2.5147593040135687,0.17263385894248792,0.08569932758267014,0.002073135275891042,0.066379913656538,0.0014242205414703448,0.894070047869333,0.004312134109719816,,,,,,
12,catboost,magictelescope,0.8657943925233645,0.006847030286194468,0.8612635386973195,0.005884400012805404,0.9368921303170582,0.002919425629767936,0.31476007030853936,0.007336420545735204,0.7383177570093459,0.013150698392028303,2.0,1.5811388300841898,0.9740723100258037,0.1650290202392349,,,,,,,,,,,,
13,catboost,phoneme,0.9083962213658745,0.006826944993187563,0.8412287408244996,0.014791768634397814,0.9643777774670148,0.0032323258621190292,0.22416930720008849,0.007663308794019945,0.8074631918568522,0.016685457568169245,2.0,1.5811388300841898,1.048645813227631,0.46412516588145614,,,,,,,,,,,,
14,catboost,superconduct,,,,,,,,,,,2.0,1.5811388300841898,5.835334844805766,0.6635999849270606,0.8394646525908118,0.009802315506766267,0.6177003279194493,0.006505997931913545,0.1861684055350068,0.009932141740480132,,,,,,
15,catboost,telco_customer_churn,0.8079541245797879,0.015557883722353066,0.6007676610042565,0.031490029403491555,0.8505971636192126,0.01292355366201703,0.4108720825176465,0.013118882695122167,0.5548299967152814,0.03323123585251297,2.0,1.5811388300841898,0.2337875497963978,0.04924357893237528,,,,,,,,,,,,
16,catboost,wine_quality,,,,,,,,,,,2.0,1.5811388300841898,3.685648471605964,0.4937031001684889,0.6110702007295508,0.02353421234557432,0.4269794039428782,0.016640204043601677,0.5128697513411413,0.023836846321330284,,,,,,
17,catboost,year_prediction,,,,,,,,,,,2.0,1.5811388300841898,38.374299974390304,3.470731490441938,8.851949399740722,0.11012212290624097,6.185142761686651,0.05690511374572421,0.34023893010137873,0.01044201735982177,,,,,,
18,ft_transformer,adult,0.8606708270553319,0.0053462227851021225,0.6823898529761914,0.019036298489959833,0.9167207032959585,0.004466532010181168,0.2993405695279786,0.007532435134719832,0.6691823624854634,0.008075774444350784,2.0,1.5811388300841898,178.33238949420192,30.413155201670065,,,,,,,,,,,,
19,ft_transformer,amazon_employee,0.9438489414457372,0.0012694687234250572,0.9708482324059238,0.0006448542455107342,0.796698463444128,0.011094232270819286,0.18812705117399248,0.004148991274443075,0.46734236145993613,0.02717297121152781,2.0,1.5811388300841898,607.3491745522012,43.599933893039555,,,,,,,,,,,,
20,ft_transformer,bank_marketing,0.9091463453090946,0.0026268542874522006,0.5893644302185754,0.017293542820959927,0.9380245854857957,0.001223706260141835,0.19413927401105427,0.0018676559039431852,0.7611881071428812,0.009282839713010195,2.0,1.5811388300841898,89.55911569979507,6.422726547669834,,,,,,,,,,,,
21,ft_transformer,california_housing,,,,,,,,,,,2.0,1.5811388300841898,31.611664948801625,3.680297337943282,0.27646383994209245,0.005335693609574601,0.15366361870222545,0.004481196147851168,0.6941161938984015,0.011850520735928915,,,,,,
22,ft_transformer,cardiovascular_disease,0.7376607142857143,0.003168951131764307,0.7277106040094454,0.006519925750328495,0.8033609688161423,0.0023038369788151466,0.5390454924887323,0.0024736978085030717,0.47747704183927847,0.0059249923413093476,2.0,1.5811388300841898,79.35101837260008,21.602950879124336,,,,,,,,,,,,
23,ft_transformer,covertype,0.9112124999999999,0.002954604457452794,,,,,0.2310227756808388,0.003988779053035004,,,2.0,1.5811388300841898,343.6403282897998,49.44299597594931,,,,,,,0.8619248705913869,0.007028862900356884,0.9111021936938805,0.003106409469579185,0.9836005976720774,0.0007699539286247041
24,ft_transformer,credit_g,0.76,0.06578848683470385,0.837240520080605,0.0431921642438179,0.7862723214285714,0.07374697611857532,0.4937934034622156,0.08663729698706123,0.4970238095238095,0.14339865126960238,2.0,1.5811388300841898,0.5187007540138439,0.10517440911758033,,,,,,,,,,,,
25,ft_transformer,give_me_some_credit,0.9365874999999999,0.0008734361024138858,0.2537162523579069,0.05084416889022764,0.8345149805664439,0.0031205403232059388,0.18701955285924954,0.001139195541269244,0.531293592944195,0.008523559563856517,2.0,1.5811388300841898,54.59750998360105,14.108468525555818,,,,,,,,,,,,
26,ft_transformer,helena,0.387357260213627,0.003638266918042617,,,,,2.5308508693660827,0.014114929505078247,,,2.0,1.5811388300841898,89.22862605759875,5.707442996352674,,,,,,,0.23445488910221135,0.004186841541065499,0.3605044430039804,0.00409615408516118,0.9079325708778734,0.0012000549161006327
27,ft_transformer,higgs,0.7319479857215706,0.0032656696867622483,0.7488787439239184,0.006591178816877443,0.8124675660221431,0.004300044211644403,0.5269429139976393,0.0044022401534479115,0.46518772072369197,0.006185056171430204,2.0,1.5811388300841898,73.9482183819986,5.35284193974893,,,,,,,,,,,,
28,ft_transformer,jannis,0.7295852363183444,0.0023753742939896195,,,,,0.6682955822183091,0.005161419278396626,,,2.0,1.5811388300841898,152.79672103321644,19.43086610305058,,,,,,,0.5914212809499394,0.006442020291032674,0.7267011632192494,0.0020500823707374294,0.8819985527240626,0.0021385843871232317
29,ft_transformer,kin8nm,,,,,,,,,,,2.0,1.5811388300841898,21.964596946979874,4.227758365784356,0.06795346439263665,0.0009817605037091123,0.05300826769129809,0.0006275800442541948,0.9332334828449319,0.005681065729701237,,,,,,
30,ft_transformer,magictelescope,0.8599065420560749,0.007602618485987621,0.8527133439761242,0.007600108957996072,0.9339987771857803,0.003221805014720179,0.32081459392720985,0.006002540839194755,0.7271028037383178,0.015271153867633834,2.0,1.5811388300841898,15.721107412176206,2.6258269412014354,,,,,,,,,,,,
31,ft_transformer,phoneme,0.886187647184757,0.006157756818743751,0.8008537370364952,0.0080377810406338,0.9479942304771981,0.00412416375831209,0.2729191181725656,0.01103430254417688,0.769075658444709,0.01454307310811166,2.0,1.5811388300841898,8.676031849812716,2.2275721099141306,,,,,,,,,,,,
32,ft_transformer,superconduct,,,,,,,,,,,2.0,1.5811388300841898,84.98912315118359,19.067087920603303,0.8501205739346706,0.012427187667759809,0.6267599079215527,0.008365346267916633,0.16539216689821296,0.013318779191284434,,,,,,
33,ft_transformer,telco_customer_churn,0.8045815530629582,0.01605537922828399,0.6002570195670989,0.03185560057404578,0.8486557020989787,0.015593955462963322,0.4145346924563042,0.01664831784035906,0.5544215188161352,0.044736018660869736,2.0,1.5811388300841898,25.38299087700434,9.654598260368948,,,,,,,,,,,,
34,ft_transformer,wine_quality,,,,,,,,,,,2.0,1.5811388300841898,17.073143982794136,1.0844440111214986,0.6813433143962111,0.02179518298140704,0.5332996315300187,0.0190080053142977,0.3941408304315477,0.03086056184169234,,,,,,
35,ft_transformer,year_prediction,,,,,,,,,,,2.0,1.5811388300841898,157.93808520960155,11.336610974539267,8.933081476009981,0.10897885919455291,6.1591757308959965,0.09797564796077404,0.3281369741693699,0.00532446782450076,,,,,,
36,kan,adult,0.8583419264371361,0.004646046556554698,0.6752322435381493,0.015389354100119376,0.9148434954701102,0.003754120536460181,0.3035155855420806,0.006997216192169477,0.6646852725622833,0.008779890267933778,2.0,1.5811388300841898,10.418000941600031,1.04438851531287,,,,,,,,,,,,
37,kan,amazon_employee,0.9448025939347702,0.0009593573404508444,0.9712700823179746,0.0005469332379987657,0.8243313007080444,0.011776658025750475,0.17380279685201522,0.003670964912561552,0.52682964395959,0.028436857719636305,2.0,1.5811388300841898,10.294204176601488,0.6553160524013095,,,,,,,,,,,,
38,kan,bank_marketing,0.9084275022617934,0.0033731100965732216,0.5692192019527003,0.02217293346033413,0.9313216374696512,0.0028799803903805437,0.20162195255375068,0.0022630665631159456,0.7420269461627129,0.012684089769593176,2.0,1.5811388300841898,14.74955967499991,1.6974661471956722,,,,,,,,,,,,
39,kan,california_housing,,,,,,,,,,,2.0,1.5811388300841898,15.046362964799846,2.5475451590172047,0.325212985985158,0.0074231285214730255,0.21651789644794955,0.010103828015055041,0.576679573672507,0.019069195397870085,,,,,,
40,kan,cardiovascular_disease,0.7349464285714286,0.0021711304424099657,0.7263287197539791,0.0014765687144515428,0.8007906362786406,0.0031089611168900718,0.5426775762223137,0.003547772553325554,0.4738053184740048,0.005276871716881306,2.0,1.5811388300841898,61.20967216680001,11.321660777212497,,,,,,,,,,,,
41,kan,covertype,0.9039999999999999,0.002542221592426626,,,,,0.26443755441519196,0.0059400472346420536,,,2.0,1.5811388300841898,74.98514450620023,3.673603735870489,,,,,,,0.8453456230134027,0.006011717996675862,0.9036874146507481,0.0024482328501226024,0.9803781845783632,0.0004704472990465638
