,catboost,ft_transformer,kan,lightgbm,mlp,realmlp,saint,stab,tabfm,tabkan,tabm,tabnet,tabpfn,xgboost
catboost,1.0,0.9977955765601176,0.12199542271656783,0.9999995503103101,0.6746849774091548,0.9918997021475434,0.9964899556201241,0.842512198960283,0.9832606909812968,0.06652432233276007,0.9999892662728359,0.0338696788963212,0.999998556551681,0.9999999999999014
ft_transformer,0.9977955765601176,1.0,0.8135214225821721,0.999998556551681,0.9992195387459045,0.9999999999999014,1.0,0.9999743529575416,0.3992168352205867,0.6746849774091548,0.9999999719736297,0.5159123870434514,0.9127971776218108,0.9918997021475434
kan,0.12199542271656783,0.8135214225821721,1.0,0.39921683522058704,0.9997663505696124,0.8922105562655944,0.8425121989602827,0.9964899556201241,0.0007677275133093353,0.9999999999959506,0.5159123870434509,0.9999999719736297,0.019565011018682243,0.07792763589070784
lightgbm,0.9999995503103101,0.999998556551681,0.39921683522058704,1.0,0.9456843766032934,0.9999743529575416,0.9999958679589466,0.9882055162888143,0.8135214225821714,0.2636968821868243,0.9999999999999014,0.16077757762768874,0.9977955765601176,0.9999892662728359
mlp,0.6746849774091548,0.9992195387459045,0.9997663505696124,0.9456843766032934,1.0,0.9998812851536368,0.9995630257651201,0.9999999999286427,0.028319157255303762,0.9977955765601176,0.9768028124720175,0.9882055162888143,0.2636968821868243,0.5560584711041782
realmlp,0.9918997021475434,0.9999999999999014,0.8922105562655944,0.9999743529575416,0.9998812851536368,1.0,0.9999999999999994,0.999998556551681,0.294753976329719,0.7819736703433153,0.999998556551681,0.6358651101263981,0.8425121989602826,0.9768028124720175
saint,0.9964899556201241,1.0,0.8425121989602827,0.9999958679589466,0.9995630257651201,0.9999999999999994,1.0,0.9999892662728359,0.3626894183364012,0.7122292713423342,0.9999998778829645,0.5560584711041782,0.8922105562655943,0.9882055162888143
stab,0.842512198960283,0.9999743529575416,0.9964899556201241,0.9882055162888143,0.9999999999286427,0.999998556551681,0.9999892662728359,1.0,0.06652432233275973,0.9832606909812969,0.9964899556201241,0.9456843766032933,0.4371345356953733,0.7481092480702082
tabfm,0.9832606909812968,0.3992168352205867,0.0007677275133093353,0.8135214225821714,0.028319157255303762,0.294753976329719,0.3626894183364012,0.06652432233275973,1.0,0.000284868771414426,0.7122292713423342,0.00010052370821522771,0.9999430234299034,0.994587970289319
tabkan,0.06652432233276007,0.6746849774091548,0.9999999999959506,0.2636968821868243,0.9977955765601176,0.7819736703433153,0.7122292713423342,0.9832606909812969,0.000284868771414426,1.0,0.3626894183364012,0.9999999999959506,0.008920758259073014,0.04034541311660855
tabm,0.9999892662728359,0.9999999719736297,0.5159123870434509,0.9999999999999014,0.9768028124720175,0.999998556551681,0.9999998778829645,0.9964899556201241,0.7122292713423342,0.3626894183364012,1.0,0.23473316531117494,0.9918997021475434,0.9998812851536368
tabnet,0.0338696788963212,0.5159123870434514,0.9999999719736297,0.16077757762768874,0.9882055162888143,0.6358651101263981,0.5560584711041782,0.9456843766032933,0.00010052370821522771,0.9999999999959506,0.23473316531117494,1.0,0.003836844939082318,0.019565011018682243
tabpfn,0.999998556551681,0.9127971776218108,0.019565011018682243,0.9977955765601176,0.2636968821868243,0.8425121989602826,0.8922105562655943,0.4371345356953733,0.9999430234299034,0.008920758259073014,0.9918997021475434,0.003836844939082318,1.0,0.9999999719736297
xgboost,0.9999999999999014,0.9918997021475434,0.07792763589070784,0.9999892662728359,0.5560584711041782,0.9768028124720175,0.9882055162888143,0.7481092480702082,0.994587970289319,0.04034541311660855,0.9998812851536368,0.019565011018682243,0.9999999719736297,1.0
