,catboost,ft_transformer,kan,lightgbm,mlp,realmlp,saint,stab,tabfm,tabkan,tabm,tabnet,tabpfn,xgboost
catboost,1.0,0.997558844466909,0.965856256899969,1.0,0.7894589731772921,0.9999999999913539,0.9994509163304756,0.9777370025667579,0.9023036137206851,0.5791025025330201,0.9994509163304756,0.6899543900807779,0.9987963721140597,0.9999999996535788
ft_transformer,0.997558844466909,1.0,0.999999994084554,0.9953776858290855,0.9999136444513869,0.9861220424172585,0.9999999999999539,0.9999999996535788,0.18947218178437975,0.997558844466909,0.9999999999999539,0.9994509163304756,0.6353855877593032,0.9777370025667579
kan,0.965856256899969,0.999999994084554,1.0,0.9497351830769688,0.9999999413970334,0.9023036137206852,0.9999996028999961,1.0,0.06856425675621969,0.9999711502550089,0.9999996028999961,0.9999979692832138,0.35971896377822743,0.8702331935424279
lightgbm,1.0,0.9953776858290855,0.9497351830769688,1.0,0.7416570938615585,0.9999999999999539,0.9987963721140597,0.965856256899969,0.9287158935330295,0.5222955510555679,0.9987963721140597,0.6353855877593029,0.9994509163304756,0.9999999999913539
mlp,0.7894589731772921,0.9999136444513869,0.9999999413970334,0.7416570938615585,1.0,0.6353855877593029,0.9994509163304756,0.9999996028999961,0.015268259025609465,0.9999999996535788,0.9994509163304756,0.9999999999999539,0.12968419539353904,0.5791025025330201
realmlp,0.9999999999913539,0.9861220424172585,0.9023036137206852,0.9999999999999539,0.6353855877593029,1.0,0.9953776858290855,0.9287158935330295,0.965856256899969,0.41162550041270596,0.9953776858290855,0.5222955510555674,0.9999136444513869,1.0
saint,0.9994509163304756,0.9999999999999539,0.9999996028999961,0.9987963721140597,0.9994509163304756,0.9953776858290855,1.0,0.9999999413970334,0.2663564919009471,0.9917675962371495,1.0,0.997558844466909,0.7416570938615585,0.9917675962371495
stab,0.9777370025667579,0.9999999996535788,1.0,0.965856256899969,0.9999996028999961,0.9287158935330295,0.9999999413970334,1.0,0.08554873240189198,0.9999136444513869,0.9999999413970334,0.9999916484471882,0.4116255004127062,0.9023036137206853
tabfm,0.9023036137206851,0.18947218178437975,0.06856425675621969,0.9287158935330295,0.015268259025609465,0.965856256899969,0.2663564919009471,0.08554873240189198,1.0,0.004811003679471071,0.2663564919009471,0.008696359168283707,0.9999916484471882,0.9777370025667578
tabkan,0.5791025025330201,0.997558844466909,0.9999711502550089,0.5222955510555679,0.9999999996535788,0.41162550041270596,0.9917675962371495,0.9999136444513869,0.004811003679471071,1.0,0.9917675962371495,0.9999999999999539,0.054481174918147746,0.35971896377822743
tabm,0.9994509163304756,0.9999999999999539,0.9999996028999961,0.9987963721140597,0.9994509163304756,0.9953776858290855,1.0,0.9999999413970334,0.2663564919009471,0.9917675962371495,1.0,0.997558844466909,0.7416570938615585,0.9917675962371495
tabnet,0.6899543900807779,0.9994509163304756,0.9999979692832138,0.6353855877593029,0.9999999999999539,0.5222955510555674,0.997558844466909,0.9999916484471882,0.008696359168283707,0.9999999999999539,0.997558844466909,1.0,0.08554873240189198,0.46611879312223237
tabpfn,0.9987963721140597,0.6353855877593032,0.35971896377822743,0.9994509163304756,0.12968419539353904,0.9999136444513869,0.7416570938615585,0.4116255004127062,0.9999916484471882,0.054481174918147746,0.7416570938615585,0.08554873240189198,1.0,0.9999711502550089
xgboost,0.9999999996535788,0.9777370025667579,0.8702331935424279,0.9999999999913539,0.5791025025330201,1.0,0.9917675962371495,0.9023036137206853,0.9777370025667578,0.35971896377822743,0.9917675962371495,0.46611879312223237,0.9999711502550089,1.0
