,catboost,ft_transformer,kan,lightgbm,mlp,realmlp,saint,stab,tabfm,tabkan,tabm,tabnet,tabpfn,xgboost
catboost,1.0,1.0,0.48046875,1.0,1.0,1.0,1.0,1.0,1.0,0.78125,1.0,0.34375,1.0,1.0
ft_transformer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kan,0.48046875,1.0,1.0,0.34375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.177734375,0.177734375
lightgbm,1.0,1.0,0.34375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78125,1.0,1.0
mlp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78125,1.0
realmlp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
saint,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stab,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tabfm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34375,1.0,1.0
tabkan,0.78125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48046875,1.0,0.34375,1.0
tabm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48046875,1.0,0.34375,1.0,1.0
tabnet,0.34375,1.0,1.0,0.78125,1.0,1.0,1.0,1.0,0.34375,1.0,0.34375,1.0,0.177734375,0.34375
tabpfn,1.0,1.0,0.177734375,1.0,0.78125,1.0,1.0,1.0,1.0,0.34375,1.0,0.177734375,1.0,1.0
xgboost,1.0,1.0,0.177734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34375,1.0,1.0
