dataset,regime,student,seed,rmse,crps,picp80,fit_time_s
wine_quality,oof,xgb_point,0,0.667151,,,1.45
wine_quality,oof,xgb_quant,0,0.682817,0.365251,0.711538,26.41
wine_quality,oof,xgb_point,1,0.667252,,,1.42
wine_quality,oof,xgb_quant,1,0.68339,0.365185,0.7,25.72
wine_quality,oof,xgb_point,2,0.666288,,,1.43
wine_quality,oof,xgb_quant,2,0.682439,0.365132,0.708462,25.7
california_housing,oof,xgb_point,0,0.267348,,,1.32
california_housing,oof,xgb_quant,0,0.27614,0.108631,0.596075,22.82
california_housing,oof,xgb_point,1,0.267851,,,1.32
california_housing,oof,xgb_quant,1,0.276936,0.108556,0.595832,22.87
california_housing,oof,xgb_point,2,0.268042,,,1.33
california_housing,oof,xgb_quant,2,0.27667,0.108602,0.596317,22.85
superconduct,oof,xgb_point,0,0.835175,,,1.52
superconduct,oof,xgb_quant,0,0.859979,0.453974,0.769328,35.16
superconduct,oof,xgb_point,1,0.835179,,,1.52
superconduct,oof,xgb_quant,1,0.860108,0.453958,0.770715,28.47
superconduct,oof,xgb_point,2,0.835258,,,1.55
superconduct,oof,xgb_quant,2,0.860191,0.454033,0.769832,28.26
diamonds,oof,xgb_point,0,0.110436,,,1.05
diamonds,oof,xgb_quant,0,0.10979,0.064331,0.615009,19.88
diamonds,oof,xgb_point,1,0.110664,,,1.04
diamonds,oof,xgb_quant,1,0.110676,0.064419,0.613179,20.12
diamonds,oof,xgb_point,2,0.110609,,,1.06
diamonds,oof,xgb_quant,2,0.110225,0.064346,0.621721,19.83
wine_quality,insample,xgb_point,0,0.61648,,,1.61
wine_quality,insample,xgb_quant,0,0.615053,0.33583,0.6038,29.74
wine_quality,insample,xgb_point,1,0.616876,,,1.67
wine_quality,insample,xgb_quant,1,0.614929,0.33554,0.6023,29.04
wine_quality,insample,xgb_point,2,0.617088,,,1.65
wine_quality,insample,xgb_quant,2,0.615166,0.336045,0.5992,29.32
california_housing,insample,xgb_point,0,0.261827,,,1.27
california_housing,insample,xgb_quant,0,0.267848,0.111336,0.5292,22.54
california_housing,insample,xgb_point,1,0.262098,,,1.32
california_housing,insample,xgb_quant,1,0.267977,0.111131,0.529,22.6
california_housing,insample,xgb_point,2,0.262158,,,1.33
california_housing,insample,xgb_quant,2,0.267561,0.111133,0.537,22.68
superconduct,insample,xgb_point,0,0.833298,,,1.55
superconduct,insample,xgb_quant,0,0.857298,0.452942,0.7673,39.29
superconduct,insample,xgb_point,1,0.833382,,,1.59
superconduct,insample,xgb_quant,1,0.857511,0.452913,0.7669,28.39
superconduct,insample,xgb_point,2,0.8333,,,1.56
superconduct,insample,xgb_quant,2,0.857417,0.452944,0.7666,28.02
diamonds,insample,xgb_point,0,0.108173,,,1.04
diamonds,insample,xgb_quant,0,0.107335,0.063615,0.5796,19.53
diamonds,insample,xgb_point,1,0.109196,,,1.1
diamonds,insample,xgb_quant,1,0.107289,0.063576,0.5711,19.67
diamonds,insample,xgb_point,2,0.108345,,,1.07
diamonds,insample,xgb_quant,2,0.107388,0.06371,0.5717,19.7
