dataset,role,cell,seed,rmse_log,crps_log,picp80,time_s
fifa,failure,teacher,0,0.671516,0.340492,0.8402,27.2
fifa,failure,student_quant_hard,0,0.66457,0.349737,0.749,28.09
fifa,failure,student_quant_soft,0,0.705449,0.365581,0.7797,17.06
fifa,failure,student_quant_hard,1,0.664623,0.350026,0.7495,28.46
fifa,failure,student_quant_soft,1,0.705327,0.365666,0.7748,17.16
fifa,failure,student_quant_hard,2,0.663246,0.349794,0.745,28.43
fifa,failure,student_quant_soft,2,0.704993,0.365663,0.7769,16.9
diamonds_real,failure,teacher,0,0.079882,0.041094,0.8117,187.3
diamonds_real,failure,student_quant_hard,0,0.085292,0.044927,0.7728,88.4
diamonds_real,failure,student_quant_soft,0,0.085336,0.045052,0.7572,19.49
diamonds_real,failure,student_quant_hard,1,0.085238,0.044966,0.7721,88.54
diamonds_real,failure,student_quant_soft,1,0.085393,0.045049,0.7557,19.5
diamonds_real,failure,student_quant_hard,2,0.085201,0.044955,0.773,88.41
diamonds_real,failure,student_quant_soft,2,0.085408,0.04505,0.7557,19.49
health_insurance,failure,teacher,0,1.307555,0.571323,0.8276,25.0
health_insurance,failure,student_quant_hard,0,1.431814,0.595947,0.8242,21.2
health_insurance,failure,student_quant_soft,0,1.439711,0.595028,0.7937,7.07
health_insurance,failure,student_quant_hard,1,1.428031,0.596053,0.824,21.28
health_insurance,failure,student_quant_soft,1,1.440438,0.595133,0.7942,6.8
health_insurance,failure,student_quant_hard,2,1.432585,0.596402,0.8242,21.44
health_insurance,failure,student_quant_soft,2,1.439687,0.595128,0.7901,6.84
kings_county,control,teacher,0,0.149035,0.078337,0.7974,39.3
kings_county,control,student_quant_hard,0,0.159479,0.086281,0.7365,19.18
kings_county,control,student_quant_soft,0,0.16036,0.085827,0.7608,4.57
kings_county,control,student_quant_hard,1,0.159061,0.086148,0.7342,19.2
kings_county,control,student_quant_soft,1,0.16007,0.085942,0.7645,4.55
kings_county,control,student_quant_hard,2,0.159695,0.086233,0.7365,19.18
kings_county,control,student_quant_soft,2,0.160357,0.085954,0.7634,4.56
miami_housing,control,teacher,0,0.1285,0.065441,0.7987,11.0
miami_housing,control,student_quant_hard,0,0.140888,0.073617,0.7029,19.65
miami_housing,control,student_quant_soft,0,0.141402,0.072324,0.7657,8.69
miami_housing,control,student_quant_hard,1,0.140685,0.073513,0.7108,19.91
miami_housing,control,student_quant_soft,1,0.141729,0.072387,0.7578,8.69
miami_housing,control,student_quant_hard,2,0.140867,0.073602,0.7054,19.82
miami_housing,control,student_quant_soft,2,0.141032,0.072353,0.7639,8.59
