dataset,teacher,student,target,seed,n_train,n_test,rmse,mae,crps,picp80,picp90,width80,width90,retention_rmse,fit_time_s
wine_quality,tabpfn,xgb_point,hard,0,5197,1300,0.585228,0.395359,,,,,,,1.6
wine_quality,tabpfn,xgb_point,soft,0,5197,1300,0.667151,0.517456,,,,,,,1.45
wine_quality,tabpfn,xgb_point,mixed,0,5197,1300,0.637239,0.490312,,,,,,,1.53
wine_quality,tabpfn,xgb_quant,hard,0,5197,1300,0.59472,0.412955,0.327601,0.65,0.779231,1.045307,1.434416,,23.02
wine_quality,tabpfn,xgb_quant,soft,0,5197,1300,0.682817,0.482809,0.365251,0.711538,0.810769,1.13627,1.448527,,26.41
wine_quality,tabpfn,xgb_point,hard,1,5197,1300,0.586496,0.395574,,,,,,,1.5
wine_quality,tabpfn,xgb_point,soft,1,5197,1300,0.667252,0.517517,,,,,,,1.42
wine_quality,tabpfn,xgb_point,mixed,1,5197,1300,0.637639,0.490361,,,,,,,1.5
wine_quality,tabpfn,xgb_quant,hard,1,5197,1300,0.597643,0.415732,0.327606,0.654615,0.776154,1.061873,1.386677,,22.65
wine_quality,tabpfn,xgb_quant,soft,1,5197,1300,0.68339,0.48324,0.365185,0.7,0.808462,1.135214,1.447301,,25.72
wine_quality,tabpfn,xgb_point,hard,2,5197,1300,0.585456,0.396422,,,,,,,1.5
wine_quality,tabpfn,xgb_point,soft,2,5197,1300,0.666288,0.517333,,,,,,,1.43
wine_quality,tabpfn,xgb_point,mixed,2,5197,1300,0.636935,0.490099,,,,,,,1.5
wine_quality,tabpfn,xgb_quant,hard,2,5197,1300,0.59674,0.413281,0.327919,0.661538,0.776154,1.047811,1.433093,,22.41
wine_quality,tabpfn,xgb_quant,soft,2,5197,1300,0.682439,0.482164,0.365132,0.708462,0.81,1.135614,1.446263,,25.7
california_housing,tabpfn,xgb_point,hard,0,16507,4127,0.259795,0.15669,,,,,,0.4794,1.2
california_housing,tabpfn,xgb_point,soft,0,16507,4127,0.267348,0.151517,,,,,,-0.4448,1.32
california_housing,tabpfn,xgb_point,mixed,0,16507,4127,0.263897,0.15119,,,,,,-0.0225,1.33
california_housing,tabpfn,xgb_quant,hard,0,16507,4127,0.279514,0.149191,0.180597,0.8803,0.92852,0.771308,0.848954,-1.9335,27.76
california_housing,tabpfn,xgb_quant,soft,0,16507,4127,0.27614,0.13866,0.108631,0.596075,0.710201,0.27437,0.356202,-1.5206,22.82
california_housing,tabpfn,xgb_point,hard,1,16507,4127,0.260515,0.157076,,,,,,0.3914,1.21
california_housing,tabpfn,xgb_point,soft,1,16507,4127,0.267851,0.15256,,,,,,-0.5063,1.32
california_housing,tabpfn,xgb_point,mixed,1,16507,4127,0.26398,0.151766,,,,,,-0.0327,1.31
california_housing,tabpfn,xgb_quant,hard,1,16507,4127,0.280113,0.150051,0.179789,0.884662,0.933608,0.771355,0.833736,-2.0068,27.75
california_housing,tabpfn,xgb_quant,soft,1,16507,4127,0.276936,0.139199,0.108556,0.595832,0.716259,0.274458,0.35536,-1.618,22.87
california_housing,tabpfn,xgb_point,hard,2,16507,4127,0.260321,0.157225,,,,,,0.4151,1.2
california_housing,tabpfn,xgb_point,soft,2,16507,4127,0.268042,0.152483,,,,,,-0.5297,1.33
california_housing,tabpfn,xgb_point,mixed,2,16507,4127,0.263903,0.151557,,,,,,-0.0232,1.31
california_housing,tabpfn,xgb_quant,hard,2,16507,4127,0.279966,0.149208,0.180114,0.884904,0.926339,0.776761,0.83991,-1.9888,27.63
california_housing,tabpfn,xgb_quant,soft,2,16507,4127,0.27667,0.138958,0.108602,0.596317,0.711655,0.274459,0.355145,-1.5855,22.85
superconduct,tabpfn,xgb_point,hard,0,31715,7929,0.829691,0.616399,,,,,,0.6608,1.41
superconduct,tabpfn,xgb_point,soft,0,31715,7929,0.835175,0.612963,,,,,,-2.5315,1.52
superconduct,tabpfn,xgb_point,mixed,0,31715,7929,0.832425,0.61243,,,,,,-0.9308,1.51
superconduct,tabpfn,xgb_quant,hard,0,31715,7929,0.851255,0.599733,0.455415,0.743473,0.84954,1.726085,2.286327,-11.8906,45.7
superconduct,tabpfn,xgb_quant,soft,0,31715,7929,0.859979,0.600783,0.453974,0.769328,0.882835,1.773079,2.391344,-16.9689,35.16
superconduct,tabpfn,xgb_point,hard,1,31715,7929,0.829421,0.61613,,,,,,0.8179,1.71
superconduct,tabpfn,xgb_point,soft,1,31715,7929,0.835179,0.612839,,,,,,-2.5336,1.52
superconduct,tabpfn,xgb_point,mixed,1,31715,7929,0.832103,0.612317,,,,,,-0.7432,1.5
superconduct,tabpfn,xgb_quant,hard,1,31715,7929,0.85101,0.599676,0.455359,0.744987,0.851179,1.725752,2.293947,-11.748,45.61
superconduct,tabpfn,xgb_quant,soft,1,31715,7929,0.860108,0.600864,0.453958,0.770715,0.88334,1.772546,2.390978,-17.0438,28.47
superconduct,tabpfn,xgb_point,hard,2,31715,7929,0.83051,0.617074,,,,,,0.1842,1.56
superconduct,tabpfn,xgb_point,soft,2,31715,7929,0.835258,0.612937,,,,,,-2.5797,1.55
superconduct,tabpfn,xgb_point,mixed,2,31715,7929,0.832342,0.612329,,,,,,-0.8825,1.52
superconduct,tabpfn,xgb_quant,hard,2,31715,7929,0.851171,0.599664,0.455576,0.7465,0.849035,1.725695,2.284761,-11.842,45.74
superconduct,tabpfn,xgb_quant,soft,2,31715,7929,0.860191,0.600977,0.454033,0.769832,0.883466,1.772966,2.391428,-17.0921,28.26
kin8nm,tabpfn,xgb_point,hard,0,6553,1639,0.109155,0.083043,,,,,,0.0566,1.1
kin8nm,tabpfn,xgb_point,soft,0,6553,1639,0.110436,0.083995,,,,,,0.0283,1.05
kin8nm,tabpfn,xgb_point,mixed,0,6553,1639,0.110076,0.083685,,,,,,0.0362,1.04
kin8nm,tabpfn,xgb_quant,hard,0,6553,1639,0.110221,0.084025,0.068122,0.5241,0.649176,0.193148,0.280349,0.033,24.9
kin8nm,tabpfn,xgb_quant,soft,0,6553,1639,0.10979,0.08325,0.064331,0.615009,0.718731,0.181273,0.231888,0.0426,19.88
kin8nm,tabpfn,xgb_point,hard,1,6553,1639,0.108952,0.0831,,,,,,0.0611,1.11
kin8nm,tabpfn,xgb_point,soft,1,6553,1639,0.110664,0.083969,,,,,,0.0232,1.04
kin8nm,tabpfn,xgb_point,mixed,1,6553,1639,0.110396,0.08349,,,,,,0.0292,1.05
kin8nm,tabpfn,xgb_quant,hard,1,6553,1639,0.110031,0.083921,0.068209,0.519829,0.654667,0.191394,0.287686,0.0372,24.92
kin8nm,tabpfn,xgb_quant,soft,1,6553,1639,0.110676,0.083807,0.064419,0.613179,0.722392,0.181668,0.230963,0.023,20.12
