dataset,teacher,student,target,seed,n_train,n_test,rmse,mae,crps,picp80,picp90,width80,width90,retention_rmse,fit_time_s
california_housing,tabpfn,xgb_point,hard,0,6400,1600,0.2767,0.170037,,,,,,-4.9508,1.0
california_housing,tabpfn,xgb_point,soft,0,6400,1600,0.283856,0.168072,,,,,,-7.6786,0.93
california_housing,tabpfn,xgb_point,mixed,0,6400,1600,0.279789,0.16675,,,,,,-6.1286,0.94
california_housing,tabpfn,xgb_quant,hard,0,6400,1600,0.290613,0.167126,0.184776,0.855625,0.905625,0.766725,0.821019,-10.2546,14.0
california_housing,tabpfn,xgb_quant,soft,0,6400,1600,0.293878,0.153543,0.118671,0.610625,0.724375,0.302818,0.38595,-11.4995,16.47
california_housing,tabpfn,xgb_point,hard,1,6400,1600,0.278159,0.17229,,,,,,-5.5069,0.88
california_housing,tabpfn,xgb_point,soft,1,6400,1600,0.284444,0.169106,,,,,,-7.9029,0.94
california_housing,tabpfn,xgb_point,mixed,1,6400,1600,0.280093,0.168224,,,,,,-6.2443,0.96
california_housing,tabpfn,xgb_quant,hard,1,6400,1600,0.294379,0.17077,0.185882,0.858125,0.914375,0.775189,0.841584,-11.6903,13.85
california_housing,tabpfn,xgb_quant,soft,1,6400,1600,0.294036,0.153659,0.118332,0.611875,0.715625,0.302256,0.384251,-11.5596,16.36
california_housing,tabpfn,xgb_point,hard,2,6400,1600,0.277614,0.17154,,,,,,-5.2993,0.88
california_housing,tabpfn,xgb_point,soft,2,6400,1600,0.284343,0.169407,,,,,,-7.8644,0.94
california_housing,tabpfn,xgb_point,mixed,2,6400,1600,0.279946,0.167999,,,,,,-6.1883,0.96
california_housing,tabpfn,xgb_quant,hard,2,6400,1600,0.291517,0.167515,0.185482,0.849375,0.905,0.759385,0.832326,-10.5993,14.02
california_housing,tabpfn,xgb_quant,soft,2,6400,1600,0.293807,0.153012,0.118231,0.601875,0.7175,0.301744,0.385854,-11.4723,16.16
wine_quality,tabpfn,xgb_point,hard,0,5197,1300,0.585228,0.395359,,,,,,,1.48
wine_quality,tabpfn,xgb_point,soft,0,5197,1300,0.667151,0.517456,,,,,,,1.46
wine_quality,tabpfn,xgb_point,mixed,0,5197,1300,0.637239,0.490312,,,,,,,1.51
wine_quality,tabpfn,xgb_quant,hard,0,5197,1300,0.59472,0.412955,0.327601,0.65,0.779231,1.045307,1.434416,,22.36
wine_quality,tabpfn,xgb_quant,soft,0,5197,1300,0.682817,0.482809,0.365251,0.711538,0.810769,1.13627,1.448527,,25.66
wine_quality,tabpfn,xgb_point,hard,1,5197,1300,0.586496,0.395574,,,,,,,1.49
wine_quality,tabpfn,xgb_point,soft,1,5197,1300,0.667252,0.517517,,,,,,,1.41
wine_quality,tabpfn,xgb_point,mixed,1,5197,1300,0.637639,0.490361,,,,,,,1.48
wine_quality,tabpfn,xgb_quant,hard,1,5197,1300,0.597643,0.415732,0.327606,0.654615,0.776154,1.061873,1.386677,,22.17
wine_quality,tabpfn,xgb_quant,soft,1,5197,1300,0.68339,0.48324,0.365185,0.7,0.808462,1.135214,1.447301,,25.69
wine_quality,tabpfn,xgb_point,hard,2,5197,1300,0.585456,0.396422,,,,,,,1.52
wine_quality,tabpfn,xgb_point,soft,2,5197,1300,0.666288,0.517333,,,,,,,1.44
wine_quality,tabpfn,xgb_point,mixed,2,5197,1300,0.636935,0.490099,,,,,,,1.52
wine_quality,tabpfn,xgb_quant,hard,2,5197,1300,0.59674,0.413281,0.327919,0.661538,0.776154,1.047811,1.433093,,22.15
wine_quality,tabpfn,xgb_quant,soft,2,5197,1300,0.682439,0.482164,0.365132,0.708462,0.81,1.135614,1.446263,,25.55
