dataset,cell,seed,rmse,crps,picp80,time_s
abalone,teacher,0,2.05782,1.059556,0.8026,1.0
abalone,student_point_hard,0,2.307044,,,0.36
abalone,student_point_soft,0,2.116987,,,0.25
abalone,student_quant_hard,0,2.200351,1.151784,0.7392,6.33
abalone,student_quant_soft,0,2.142979,1.098398,0.7464,4.71
abalone,student_point_hard,1,2.31108,,,0.38
abalone,student_point_soft,1,2.113011,,,0.25
abalone,student_quant_hard,1,2.215776,1.154852,0.7201,6.31
abalone,student_quant_soft,1,2.143839,1.097635,0.7452,4.73
abalone,student_point_hard,2,2.314197,,,0.37
abalone,student_point_soft,2,2.120882,,,0.25
abalone,student_quant_hard,2,2.219037,1.155641,0.7344,6.27
abalone,student_quant_soft,2,2.138619,1.097558,0.7404,4.62
cpu_activity,teacher,0,2.039856,1.060998,0.8005,3.8
cpu_activity,student_point_hard,0,2.188811,,,0.65
cpu_activity,student_point_soft,0,2.250613,,,0.65
cpu_activity,student_quant_hard,0,2.546067,1.293974,0.7163,17.49
cpu_activity,student_quant_soft,0,2.233292,1.178066,0.7535,12.11
cpu_activity,student_point_hard,1,2.201056,,,0.7
cpu_activity,student_point_soft,1,2.250926,,,0.65
cpu_activity,student_quant_hard,1,2.547583,1.294974,0.7151,17.84
cpu_activity,student_quant_soft,1,2.24616,1.176868,0.7584,12.59
cpu_activity,student_point_hard,2,2.204756,,,0.71
cpu_activity,student_point_soft,2,2.262836,,,0.68
cpu_activity,student_quant_hard,2,2.542404,1.293993,0.7181,18.08
cpu_activity,student_quant_soft,2,2.247455,1.178225,0.7651,12.14
grid_stability,teacher,0,0.004445,0.001685,0.929,3.5
grid_stability,student_point_hard,0,0.007399,,,0.51
grid_stability,student_point_soft,0,0.007535,,,0.49
grid_stability,student_quant_hard,0,0.007902,0.004276,0.7385,14.93
grid_stability,student_quant_soft,0,0.007356,0.003859,0.6135,8.86
grid_stability,student_point_hard,1,0.007248,,,0.51
grid_stability,student_point_soft,1,0.007581,,,0.49
grid_stability,student_quant_hard,1,0.007928,0.004313,0.7375,14.77
grid_stability,student_quant_soft,1,0.007368,0.003844,0.6225,8.68
grid_stability,student_point_hard,2,0.007222,,,0.5
grid_stability,student_point_soft,2,0.007565,,,0.47
grid_stability,student_quant_hard,2,0.007973,0.00429,0.748,14.74
grid_stability,student_quant_soft,2,0.007396,0.003844,0.6165,8.88
miami_housing,teacher,0,73916.050276,27881.66481,0.7926,11.0
miami_housing,student_point_hard,0,80371.686866,,,0.49
miami_housing,student_point_soft,0,83933.099163,,,0.48
miami_housing,student_quant_hard,0,79966.735622,32045.38454,0.7015,19.64
miami_housing,student_quant_soft,0,84702.444922,31959.818337,0.7499,8.68
miami_housing,student_point_hard,1,80931.714587,,,0.51
miami_housing,student_point_soft,1,85331.789613,,,0.48
miami_housing,student_quant_hard,1,79910.150114,31952.318195,0.709,19.86
miami_housing,student_quant_soft,1,84277.430121,31901.692042,0.7535,8.77
miami_housing,student_point_hard,2,80030.30739,,,0.52
miami_housing,student_point_soft,2,84844.443522,,,0.48
miami_housing,student_quant_hard,2,80310.537988,31999.599457,0.713,19.72
miami_housing,student_quant_soft,2,83669.172795,31932.664568,0.756,9.03
fifa,teacher,0,8879.370273,2794.506858,0.8219,28.6
