dataset,cell,seed,rmse,crps,picp80,time_s
kin8nm,teacher,0,0.066472,0.038013,0.8328,2.1
kin8nm,student_point_hard,0,0.109155,,,1.27
kin8nm,student_point_soft,0,0.110436,,,1.16
kin8nm,student_quant_hard,0,0.110221,0.068122,0.5241,26.94
kin8nm,student_quant_soft,0,0.10979,0.064331,0.615,22.32
kin8nm,student_point_hard,1,0.108952,,,1.27
kin8nm,student_point_soft,1,0.110664,,,1.17
kin8nm,student_quant_hard,1,0.110031,0.068209,0.5198,27.38
kin8nm,student_quant_soft,1,0.110676,0.064419,0.6132,22.46
kin8nm,student_point_hard,2,0.109176,,,1.3
kin8nm,student_point_soft,2,0.110609,,,1.19
kin8nm,student_quant_hard,2,0.110022,0.068381,0.5259,27.6
kin8nm,student_quant_soft,2,0.110225,0.064346,0.6217,22.37
