dataset,student,target,seed,rmse,crps,picp80,fit_time_s
wine_quality,mlp_quant,hard,0,0.66392,0.384316,0.7969,3.26
wine_quality,mlp_quant,soft,0,0.673172,0.393606,0.6254,4.2
wine_quality,mlp_quant,hard,1,0.662347,0.382749,0.8031,3.36
wine_quality,mlp_quant,soft,1,0.680908,0.39321,0.6154,5.77
wine_quality,mlp_quant,hard,2,0.676625,0.388441,0.8077,2.14
wine_quality,mlp_quant,soft,2,0.673434,0.389236,0.64,5.68
california_housing,mlp_quant,hard,0,0.319417,0.10907,0.9479,6.87
california_housing,mlp_quant,soft,0,0.301531,0.124536,0.6203,6.44
california_housing,mlp_quant,hard,1,0.315579,0.112302,0.9418,5.96
california_housing,mlp_quant,soft,1,0.307751,0.136531,0.4805,5.24
california_housing,mlp_quant,hard,2,0.31897,0.108054,0.8997,10.04
california_housing,mlp_quant,soft,2,0.305171,0.132882,0.7034,4.59
superconduct,mlp_quant,hard,0,0.868837,0.471478,0.8436,20.42
superconduct,mlp_quant,soft,0,0.870409,0.462664,0.7745,36.03
superconduct,mlp_quant,hard,1,0.864529,0.469017,0.8229,32.1
superconduct,mlp_quant,soft,1,0.863953,0.461873,0.7745,38.11
superconduct,mlp_quant,hard,2,0.873553,0.469148,0.8517,20.2
superconduct,mlp_quant,soft,2,0.871111,0.462516,0.7727,38.83
diamonds,mlp_quant,hard,0,0.080017,0.046477,0.9189,2.69
diamonds,mlp_quant,soft,0,0.081222,0.046499,0.7974,3.61
diamonds,mlp_quant,hard,1,0.086466,0.049567,0.9335,1.63
diamonds,mlp_quant,soft,1,0.083333,0.047721,0.7175,3.08
diamonds,mlp_quant,hard,2,0.077696,0.045129,0.9195,3.45
diamonds,mlp_quant,soft,2,0.083116,0.047287,0.7395,3.19
year_prediction,mlp_quant,hard,0,9.70438,9.676534,0.9985,55.15
year_prediction,mlp_quant,soft,0,9.530568,4.915177,0.7417,64.46
year_prediction,mlp_quant,hard,1,9.610986,9.482925,0.9988,66.82
year_prediction,mlp_quant,soft,1,9.60728,4.881927,0.7568,61.27
year_prediction,mlp_quant,hard,2,10.017897,9.830519,0.9983,44.48
year_prediction,mlp_quant,soft,2,9.548348,4.947227,0.7246,61.56
