dataset,source,ret_crps,teacher_edge,rope,p_neg,p_equiv,p_pos
pumadyn32nh,ctr23,1.0565391205025698,0.0005836666666666681,,,,
california_housing,core,0.6442631411545132,0.11108866666666667,,,,
abalone,ctr23,0.5947836634239374,0.09453633333333333,0.02,0.2670803048060488,0.018343088272651086,0.7145766069213001
fps_benchmark,ctr23,0.522503628558231,0.15226433333333333,,,,
cpu_activity,ctr23,0.49972640785659467,0.23331566666666648,0.05,0.24892939897215546,0.053580728842745264,0.6974898721850993
cps88wages,ctr23,0.46505370364104637,0.3446383333333358,,,,
year_prediction,core,0.4189254002342427,0.31135933333333377,,,,
superconduct,core,0.2552237937256134,0.005726999999999982,,,,
sarcos,ctr23,0.22518702680494745,0.47381799999999996,,,,
kings_county,ctr23,0.21325722468327932,7253.387122666667,,,,
grid_stability,ctr23,0.17024539877300637,0.002608000000000001,0.1,0.21740569806971918,0.15327301798641074,0.6293212839438701
kin8nm,core,0.12810869828945773,0.030224333333333332,,,,
physiochemical_protein,ctr23,0.08628612796590233,0.5732516666666667,,,,
video_transcoding,ctr23,0.08608682983682961,0.09151999999999999,,,,
space_ga,ctr23,0.07800771246062876,0.01132366666666667,,,,
miami_housing,ctr23,0.016444477332802878,4117.43592066667,,,,
health_insurance,ctr23,-0.2554526315789478,0.15041666666666664,,,,
diamonds_real,ctr23,-0.3148370728361996,9.421766333333352,,,,
wine_quality,core,-0.9696034216630612,0.038655666666666644,,,,
fifa,ctr23,-1.2869916216072133,42.95461866666665,,,,
