dataset,system,config,rmse,crps,us_per_row,n_test,fit_time_s
california_housing,teacher_ctx,1000,0.298592,0.093977,245.34,4127,0.21
california_housing,teacher_ctx,5000,0.274178,0.07925,767.94,4127,0.29
california_housing,teacher_ctx,10000,0.263626,0.073486,1900.4,4127,0.51
california_housing,teacher_ctx,16507,0.255541,0.069058,4044.7,4127,0.81
california_housing,teacher_ens,1,0.252114,0.067353,589.38,4127,0.14
california_housing,teacher_ens,4,0.256225,0.069493,2028.17,4127,0.42
california_housing,student_point_hard,tuned,0.259795,,2.61,4127,1.17
california_housing,student_quant_hard,tuned,0.279514,0.180597,49.93,4127,27.34
california_housing,student_quant_soft,tuned,0.27614,0.108631,99.33,4127,23.12
california_housing,tabfm_full,8,0.232645,,18159.29,4127,0.06
diamonds,teacher_ctx,1000,0.094923,0.053545,250.68,1639,0.11
diamonds,teacher_ctx,5000,0.068157,0.039006,732.87,1639,0.29
diamonds,teacher_ctx,6553,0.066472,0.038013,995.64,1639,0.35
diamonds,teacher_ens,1,0.068901,0.039569,149.93,1639,0.08
diamonds,teacher_ens,4,0.067019,0.038355,503.26,1639,0.2
diamonds,student_point_hard,tuned,0.109155,,5.33,1639,1.06
diamonds,student_quant_hard,tuned,0.110221,0.068122,143.43,1639,24.65
diamonds,student_quant_soft,tuned,0.10979,0.064331,134.29,1639,19.78
diamonds,tabfm_full,8,0.064789,,4905.14,1639,0.02
year_prediction,teacher_ctx,1000,9.276665,4.703391,1318.94,20000,0.25
year_prediction,teacher_ctx,5000,8.826475,4.397545,4575.52,20000,1.08
year_prediction,teacher_ctx,10000,8.749168,4.345745,10988.89,20000,2.02
year_prediction,teacher_ctx,25000,8.661175,4.279134,45050.09,20000,4.83
year_prediction,teacher_ctx,50000,8.6097,4.246261,148623.09,20000,10.67
year_prediction,teacher_ens,1,8.676917,4.30338,22849.18,20000,1.94
year_prediction,teacher_ens,4,8.619438,4.248706,74318.52,20000,5.42
year_prediction,student_point_hard,tuned,8.672737,,3.67,20000,61.69
year_prediction,student_quant_hard,tuned,9.246438,4.557298,127.57,20000,900.76
year_prediction,student_quant_soft,tuned,9.120371,4.427021,169.16,20000,1345.27
year_prediction,tabfm_full,8,8.379663,,394300.66,20000,2.06
