dataset,task_type,model,family,train_size,n_train,n_val,n_test,seed,fit_time_s,roc_auc,ks,log_loss,accuracy,rmse,mae,r2
adult,binary,xgboost,gbdt,500,450,50,9769,0,0.21,0.869819,0.563657,0.515515,0.760672,,,
adult,binary,xgboost,gbdt,2000,1800,200,9769,0,0.015,0.898517,0.630426,0.493633,0.760672,,,
adult,binary,xgboost,gbdt,39073,35165,3908,9769,0,0.205,0.930865,0.696945,0.271738,0.877879,,,
adult,binary,tabm,deep_learning,500,450,50,9769,0,2.01,0.894837,0.619407,0.347957,0.840721,,,
adult,binary,tabm,deep_learning,2000,1800,200,9769,0,2.711,0.902525,0.637258,0.323612,0.849933,,,
adult,binary,tabm,deep_learning,39073,35165,3908,9769,0,46.49,0.915926,0.66195,0.300292,0.862934,,,
adult,binary,tabpfn,foundation_model,500,450,50,9769,0,0.625,0.893887,0.619135,0.334999,0.841437,,,
adult,binary,tabpfn,foundation_model,2000,1800,200,9769,0,0.128,0.907751,0.646281,0.312719,0.85413,,,
adult,binary,tabpfn,foundation_model,39073,35165,3908,9769,0,1.464,0.921567,0.672177,0.290881,0.869485,,,
give_me_some_credit,binary,xgboost,gbdt,500,450,50,20000,0,0.183,0.5,0.0,0.245414,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,500,450,50,20000,1,0.005,0.5,0.0,0.245414,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,500,450,50,20000,2,0.005,0.5,0.0,0.245414,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,1000,900,100,20000,0,0.01,0.788236,0.476901,0.223463,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,1000,900,100,20000,1,0.007,0.765123,0.471985,0.242685,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,1000,900,100,20000,2,0.015,0.784555,0.477524,0.215647,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,2000,1800,200,20000,0,0.009,0.815634,0.507306,0.240558,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,2000,1800,200,20000,1,0.017,0.816809,0.502161,0.212218,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,2000,1800,200,20000,2,0.02,0.821691,0.512898,0.212111,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,4000,3600,400,20000,0,0.026,0.849295,0.538269,0.199604,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,4000,3600,400,20000,1,0.038,0.851796,0.5432,0.189348,0.9347,,,
give_me_some_credit,binary,xgboost,gbdt,4000,3600,400,20000,2,0.051,0.853199,0.541697,0.189087,0.93405,,,
give_me_some_credit,binary,xgboost,gbdt,8000,7200,800,20000,0,0.019,0.849264,0.541931,0.239332,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,8000,7200,800,20000,1,0.04,0.851656,0.544418,0.196563,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,8000,7200,800,20000,2,0.023,0.848583,0.549925,0.225878,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,16000,14400,1600,20000,0,0.049,0.857336,0.55518,0.196016,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,16000,14400,1600,20000,1,0.037,0.854062,0.550429,0.209403,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,16000,14400,1600,20000,2,0.036,0.856005,0.552886,0.215264,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,32000,28800,3200,20000,0,0.077,0.860738,0.560515,0.217163,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,32000,28800,3200,20000,1,0.136,0.860335,0.554001,0.181929,0.9364,,,
give_me_some_credit,binary,xgboost,gbdt,32000,28800,3200,20000,2,0.118,0.860197,0.557518,0.183973,0.93655,,,
give_me_some_credit,binary,xgboost,gbdt,64000,57600,6400,20000,0,0.212,0.86437,0.563366,0.180326,0.9372,,,
give_me_some_credit,binary,xgboost,gbdt,64000,57600,6400,20000,1,0.117,0.86311,0.561873,0.191534,0.9339,,,
give_me_some_credit,binary,xgboost,gbdt,64000,57600,6400,20000,2,0.076,0.860285,0.561164,0.208683,0.93315,,,
give_me_some_credit,binary,xgboost,gbdt,80000,72000,8000,20000,0,0.309,0.864542,0.567019,0.179326,0.93675,,,
give_me_some_credit,binary,xgboost,gbdt,80000,72000,8000,20000,1,0.125,0.862649,0.567013,0.193432,0.93355,,,
give_me_some_credit,binary,xgboost,gbdt,80000,72000,8000,20000,2,0.172,0.863644,0.566802,0.185276,0.9359,,,
give_me_some_credit,binary,catboost,gbdt,500,450,50,20000,0,0.088,0.836336,0.527477,0.554328,0.93475,,,
